section_name,thread_title,post_ID,post_date,post_username,post_text,post_order,replier_post_ID,user_location,user_gender,user_occupation,user_messages_count,user_reaction_score,user_mygarage
Internal Combustion,Best hypercar interiors - 2016,post-783345,"Mar 4, 2016",DJRaze99,"Huayra for me , beautiful and refined details to the smallest detail.",#5,,Poland,Male,NA,"1,029","3,662",
Internal Combustion,Autoexpress: Ferrari 488 GTB vs Porsche 911 Turbo S,post-791083,"May 9, 2016",Rio,At the same price i chose the Ferrari undoubtedly,#2,,France,Male,NA,31,19,Mazda 3 MPS
Internal Combustion,W212 vs F10 Sales,post-775725,"Jan 6, 2016",Sniper,"Bmw 5-series production (wiki), in 2014 373,053 units! Any questions?",#12,,NA,Male,NA,214,766,
Internal Combustion,W213 E-Class and it`s technological implementation vs. The Competition.,post-775909,"Jan 7, 2016",Almost30,"E-Class dual display (12.3 inches resolution 1920 x 720 pixels each) HD,S-Class dual display (12.3 inches resolution 831 x 600 pixels each)",#9,,united kingdom,NA,NA,16,53,
Internal Combustion,Custom Table of track-time diff. (Porsche Turbo S vs ALL),post-780524,"Feb 15, 2016",W140,"For clarity I’ve created this graphics of the average race track speed abilities of modern top-supercars that are in production now or were couple of years before (and that have some test results). I was thinking about which car be a benchmark and decided to stop on Porsche 911 Turbo S. It’s a bechmark for a sportscar since it came out in 1975, it’s not just track-focused hardcore stuff, but all-arounder ,plus it has many results.,The main problem is the lap time of single track doesn’t show real abilities of the car. What if I want to make a world trip, which one should I choose?,I’ve taken some results from well-known magazines (all took from fasteslaps). I looked on the tracks which could give me lots of material for work:,Laguna Seca (Motor Trend, USA),Autocar Dry Handling Test (Autocar, GB),Sachsenring (AutoBild, Germany),Hockhenheim Short (AMS, Germany),Le Mans Bugatti (France),Magny-Cours Club (Motor Sport, France),To fill the gaps, I added some else:,Anglesey Coastal (EVO, GB),Moscow Raceway GP (Autoreview, Russia),Fuji (Best Motoring, Japan),Ring Knutstrop (Sweden),Oschersleben (Germany),Nordschliefe isn’t included because due to it’s length it would mess up all the results. These are regular tracks with lap time from 1 to 2 minutes.,The idea is simple as orange. I made calculations of average speed gap on every track. Average is 5 track results. Somewhere is just one, it’s noted. The ones that get average lap time slower than 911 Turbo S is in left column. The ones that are faster is in right one. Once again, I chose choosen between “normal” civil cars, so no Radicals, Zonda Rs etc here.,The result is next:,Porsche 911 Turbo S (560 PS) has better average lap time, than (seconds),+0,1 Lambo Huracan (610 ps),+0,1 Lambo Aventador (700 ps),+0,3 Ferrari 458 Italia (570 ps),+0,4 Lambo Gallardo 570 Superleggera (570 ps),+0,8 Audi R8 Plus ’16 (610 ps),+0,8 Ferrari F12 Berlinetta (740 ps),+1,1 Koenigsegg CCR (806 ps) (1 result),+1,3 Lexus LFA/Nurburgring (560-570 ps),+1,4 Chevrolet Corvette ZR1 C6 (649 ps),+2,0 Mercedes AMG GT S (510 ps),+2,0 Lambo Gallardo LP560 (560 ps),+2,0 Nissan GT-R mkII-III (530-550 ps),+2,5 Nissan GT-R mkI (485 ps),+2,9 Audi R8 Plus quattro (550 ps),+3,3 Dodge Viper SRT (649 ps),+3,8 Audi R8 V10 (525 ps),+4,0 Chevrolet Corvette C7 (466 ps),+4,4 Ford Shelby Mustang GT500 '13 (659 ps),+4,7 Chevrolet Camaro ZL1 '12 (588 ps),+5,9 Jaguar F-Type R Coupe (550 ps),+7,8 Mitsubishi Lancer Evolution IX (280 ps, for fun),+14,6 Tesla Model S P85D (700 ps) (1 result, for fun),Porsche 911 Turbo S is slower, than,-0,1 Ferrari 458 Speciale (605 ps),-0,3 Nissan GT-R Nismo (600+ ps),-0,3 McLaren MP4-12C (600-625 ps),-0,3 Porsche 997 GT2 RS (620 ps),-0,4 Ferrari 488 GTB (670 ps) (1 result),-0,5 McLaren 650S (650 ps),-0,8 Porsche 991 GT3 RS (500 ps),-0,9 Lambo Aventador 750SV (750 ps) (1 result),-2,9 McLaren P1 (916 ps),-3,5 Porsche 918 Spyder (887 ps),Maybe all this looks useless, but I made such experiment. Click on ""detailed"" for see my calculations.",#1,,Russia,Male,NA,11,17,
Internal Combustion,BMW 7-Series G11/12 and its Competitors,post-752285,"Jun 21, 2015",vios1,"IMO, S-Class is the most balance car. My choice, the more compare photos i looked at it, the more I love the S-Class.",#19,,"Malaysia, KL",NA,NA,801,"1,074","Porsche Cayenne S, W212 E350, 2008 Bentley Continental GTC,mercedes"
Internal Combustion,W213 E-Class and it`s technological implementation vs. The Competition.,post-775964,"Jan 8, 2016",silkeye,"With more gesture controlled commands you are probably not forced to glance away... I mean we don't need to watch where we point our fingers to.,You can use maybe later the sign language for putting commands together.,Or queue them up,The possibilities are obvious",#21,,NA,Male,NA,258,242,
Internal Combustion,BMW 4er Coupe vs Mercedes-Benz C-Class Coupe,post-759373,"Aug 19, 2015",alexschoen,"Yes, the new E-coupe will be different from the sedan, but quite close to one of the existing coupes. To the extent that (I know) that one of the MB board members mixed up the new E-coupe with another one during a design presentation last year...",#57,post: 759345,NA,Male,NA,104,274,
Internal Combustion,BMW 4er Coupe vs Mercedes-Benz C-Class Coupe,post-759345,"Aug 19, 2015",lukeswiss,"I can't decide ....,I do wish the C-Coupe had slimmer front and rear lights.,I am guessing the coming E-Coupe will have more differentiation from it's sedan sibling ?",#56,,Switzerland :-),Male,NA,"2,255","2,783","G-63,SL-55,500E,r129,Mini JCW,2004 CL-55 (W215)"
Internal Combustion,W213 E-Class and it`s technological implementation vs. The Competition.,post-776066,"Jan 9, 2016",HUTSUTAo,,#43,,NA,Male,NA,"2,027","3,464",
Internal Combustion,BMW 4er Coupe vs Mercedes-Benz C-Class Coupe,post-759865,"Aug 23, 2015",vampyren,"Both look nice but i went with the BMW 4. Actually got mine this week,Love the side kidney thing allot. Also the first picture of BMW should have been with the M sport front. So much nicer.",#75,,sweden,NA,NA,37,26,
Internal Combustion,Auto Express - Mercedes-AMG C 63 Estate vs Audi RS4 track battle,post-748567,"May 29, 2015",pablodav,"He is also at DRIVE, with /SUTCLIFFE on /DRIVE",#7,,"Madrid, Spain",NA,NA,39,51,"VW Eos 2.0 FSI,Mercedes E270 CDI"
Internal Combustion,"AutoBild Sportscars - 0-100 km/h in 2,48 s: 9ff GTronic 1200 vs MTB GT-R Mission 1000",post-660320,"Sep 15, 2013",Poverty,Thought those GTR times where kinda poor. 1/4 mile time slower than a manual 660hp TTRS,#6,,London,NA,Gas Engineer &amp; Plumber,"1,375",415,"2010 Audi TT-RS 440bhp 420lbft,500+ bhp target,2009 Leon Cupra K1 360bhp"
Internal Combustion,Autobild: 2016 Audi Q7 3.0 TDI quattro vs. 2016 BMW X5 xDrive 30d,post-748720,"May 30, 2015",Tapsa70,"Autobild declares new Q7 for a winner:,""BMW X5 xDrive 30d – im neuen Q7 findet der sehr überzeugende Münchner seinen Meister."",Perhaps the BMW should have developed a new platform for F15 and not just modify the E70.,Intersting to see what LCi brings.",#6,,NA,NA,NA,83,100,
Internal Combustion,Jaguar XE vs Mercedes-Benz C-Class vs BMW 4er Gran Coupe,post-754428,"Jul 5, 2015",GS-1905,"Ive driven the XE, and i cant say this test is BS! Jag made a very nice car indeed to drive with. Just test one...",#26,,NA,Male,NA,45,15,
Internal Combustion,Jaguar XE vs Mercedes-Benz C-Class vs BMW 4er Gran Coupe,post-754404,"Jul 5, 2015",bimmerjph,"I would just like to go on the record and say that I am an equal opportunity pessimist. I dislike all new cars until they prove themselves to be good.,To be honest, I think this whole damn segment is crap right now. But what really blows is that all the cars that are filling the space left by the compact-exec class going upmarket, are FWD. With the exception of the 2-Series, which is just hidiously overweight.,If I were given a large some of money with the condition that it all had to be spent on a new car in this segment. I'd buy them most expensive one, sell it, and buy an E46 330i ZHP or maybe an E90. I wouldn't even care if I couldn't pocket the rest.",#25,post: 754194,NA,Male,NA,610,431,E46 325i
Internal Combustion,2016 Merc GLE Coupe vs. 2015 BMW X6,post-724986,"Dec 11, 2014",Aries_Gau,"Still prefer X6, very disappointed Merc doesn't put new interior design on GLE Coupe.",#22,,NA,Male,NA,83,68,
Internal Combustion,The list: Torsional Rigidity,post-541703,"Oct 25, 2011",mayham85,dear friends i want to ask a question? what is torsional rigidity ? Can  someone explain it?,#40,,Bursa - Turkey,Male,civil engineer - site manager position,233,215,"VW Golf 1.6 tdi highline manuel,2010 Seat Leon 1.4 TSI"
Internal Combustion,The list: Torsional Rigidity,post-541033,"Oct 20, 2011",twsnelson,"Where can I get the original sources for the torsional rigidity for 4 wheel drive off road vehicle? any type also can because i wan use it as reference for my Uni' project.,TQ",#37,,NA,NA,NA,2,0,
Internal Combustion,BMW M5 Saloon vs BMW M6 Gran Coupe?,post-735055,"Feb 20, 2015",adrian angelico,I know the M6 is heavier but why do most reviews prefer that over the M5? What's in the M6 chassis that isn't the M5?,#1,,NA,Male,NA,23,3,
Internal Combustion,"The New Mercedes AMG GT Design: Like it, Don't Like it?",post-716397,"Oct 11, 2014",twistedlifestyle,"On the topic of liking it or not, I must say it grew on me. Dependent on price, I may want to get this or a 507 C63 (since they're making the coupe until next year),Next SLK ^^^^^.",#34,post: 713242,NA,Male,NA,128,184,
Internal Combustion,"The New Mercedes AMG GT Design: Like it, Don't Like it?",post-712923,"Sep 19, 2014",Germany10,FOREVER YOUNG ...... flawless .,#21,,NA,Male,NA,33,10,
Internal Combustion,Sport Auto - McLaren 650S Spider vs Porsche 911 Turbo S Cabriolet,post-691328,"Apr 18, 2014",Kilcrohane,"$280k plays $195k,650 hp plays 560 hp,1,450 kgs plays 1,650 kgs,result: naff all difference.,MP4-12C bombed - half original production plan.,P1 - a legend in its own press release.,'650S' - the bastard child of above. overpriced and ugly as hell.",#2,post: 691319,NA,NA,NA,745,856,
Internal Combustion,The list: Torsional Rigidity,post-656432,"Aug 26, 2013",Smithee,"I remember reading about this about 2 years ago, anyway here is the link,BMW 7 Series Live Webcast,Through the intelligent mix of structural materials and the use of high-strength steels, the torsional rigidity of the new 7 Series has been improved to 37,500 Nm per degree (vs. 31,200 Nm per degree for the previous generation).,BTW Audi A8 D4 is stiffer than the W222 S Class and the F01.,1. Audi A8 D4 45,000 nm,2. Mercedes-S Class W222 40,500 nm,3. BMW 7 series F01 37,500 nm,For the w222 see the post by Wolfgang above.,For the A8 D4 here are the links;,Audi Reveals New Long Version Of Its Revolutionary A8,2011 Audi A8 (D4) NWB Quick Reference Guide - USA - AudiWorld,The first link tells you the D3 was 36,000 nm, the second link tells you the D4 increased by 25% making it 45,000 nm.",#73,post: 656423,NA,Male,NA,91,92,
Internal Combustion,AutoBild Sportscars - S3 Limusine vs M235i vs CLA45 AMG vs Golf R,post-692113,"Apr 22, 2014",C4L,That should be a good one.  Thanks for sharing.  The Cupra 280 is nasty fast for a hatch so it could get interesting...,#16,post: 692106,The D,Male,NA,348,106,"2015 Audi A3 2.0T Quattro,2014 Jeep Grand Cherokee Limited,2013 CC 2.0T"
Internal Combustion,The list: Torsional Rigidity,post-756023,"Jul 17, 2015",JCH,"Excellence Magazine, September 2015, cites Porsche Cayman body shell torsional stiffness at 41,900 Nm/degree and claims it to be ""the highest of any non-carbon-fiber tub production car"" p61,(Glad to join the forum) JCH,I should add that's for the 981 version.",#96,,Illinois,NA,NA,1,5,
Internal Combustion,AutoBild Sportscars - S3 Limusine vs M235i vs CLA45 AMG vs Golf R,post-688446,"Mar 31, 2014",emet,"Just by the looks S3 (only sedan), but overall M235i.",#13,,Poland,Male,NA,180,272,"Audi A6 Avant C5 2.8 quattro (facelift look),Audi A4 B5 1.8 quattro"
Internal Combustion,The list: Torsional Rigidity,post-679375,"Jan 26, 2014",astle,"As far as I know, the Koenigsegg Agera R has the best torsional rigidity, with a value of 65,000 Nm/degree. The chassis(Monocoque) is full carbon fibre and weighs only 70kg!!!,Source:",#84,post: 166405,NA,NA,NA,1,0,
Internal Combustion,Renaultsport Megane vs SEAT Leon Cupra | evo TRACK BATTLE,post-698147,"May 30, 2014",Dartman123,"Why are they comparing,vs,on track, should be the same?? DSG its usually slower on the track, especially the ring (Nordschleife). Should have been a manual Cupra. Or am I missing something...",#2,,NA,Male,NA,18,2,
Internal Combustion,2014 BMW M3/M4 vs Rivals,post-695822,"May 14, 2014",ACE,repost.,#11,,London,NA,Investment Banking,880,691,"Ferrari 488 GTB,BMW F80 M3,Porsche 997 C4S"
Internal Combustion,*new* Mercedes C 220 BlueTEC  vs BMW 320d vs Volvo S60 D4 vs Lexus IS 300h,post-687205,"Mar 21, 2014",SquallAMG,Winner: BMW,#13,,NA,Male,NA,25,19,
Internal Combustion,Teaser-Video: Nardo High Speed Test 2013 by AutoBild Sportscars,post-674461,"Dec 19, 2013",DRAGRACER,ole ole!!!!,#8,,NA,NA,NA,31,4,
Internal Combustion,Drag Race: Mercedes E63 AMG S (585 PS) vs Holden HSV GTS Gen-F (585 PS),post-675983,"Jan 2, 2014",merc4,"it was RWD E63 AMG S so it is only 0,3 sec behind official figures. You can put it down to the greasy track and hot weather.",#9,,NA,Male,NA,231,257,
Internal Combustion,Drag Race: Mercedes E63 AMG S (585 PS) vs Holden HSV GTS Gen-F (585 PS),post-675977,"Jan 2, 2014",Benek,Because it's the best way to show which one is faster. They could use a sequence but then it has to be focused on engine speed and easy to make a mistake.,#7,,NA,Male,NA,141,93,
Internal Combustion,Visual: BMW F15 X5 vs. Mercedes-Benz ML,post-675730,"Dec 30, 2013",Stefan Kolev,I currently drive an W166 ML63PP and have an F15 40d on order for my wife. I think the BMW exterior looks better (more modern) in person. The interior is no contest.,#18,,NA,Male,NA,7,1,
Internal Combustion,[Video]: MotorTrend Reviews the Audi RS7 vs Porsche Panamera Turbo,post-676976,"Jan 10, 2014",bazza123,Audi all the way - is never a track car and looks sooo much cooler !,#31,,NA,NA,NA,4,0,
Internal Combustion,Video: Ferrari F12 Berlinetta vs Toyota GT86 - which is more fun?,post-668036,"Nov 4, 2013",Mladen,"The 740 hp M3 for me.,Of course, it is hard if not impossible to even gauge 10x more of anything, let alone fun, but still.",#2,,NA,Male,NA,22,20,
Internal Combustion,Mercedes S550 vs Range Rover Supercharged,post-671415,"Nov 27, 2013",kras1,"IDK, think some of you would really be surprised by the RR if you actually drove it.  It rides like a luxury car and is much smoother than my '12 7 series.  The reality is that some people buy the Rover instead of a full size luxury sedan.  It's definitely a competitor.",#26,,NA,Male,NA,38,40,"'12 BMW 750i M Sport, '11 RR HSE , '02 MB CLK 430"
Internal Combustion,Mercedes-Benz CLS - Old vs. New (Styling),post-485950,"Oct 20, 2010",johnzzx,"Exterior wise I like both equally, with the slight favor towards the original design. The contour lines of the original CLS are soft and calm while on the new one they are edger and bolder. The lines of the original CLS reminds me of a female's body. The new CLS is more masculine with its lines and straight grill. Moreover, the new tail lights really remind me of a Solara or a Hyundai. Anyone noticed that Mercedes have been hiring quite a few Korean designers? Remember the F800? No offense to Korean designers, but maybe this explains the resemblance to Hyundai.,Can anyone explain why they like the new interior much more? It looks different but not decisively better to me. Although I don't like how the NAV is moved up like BMWs do, I can understand it's for safety. But the square buttons on the steering wheel and the square clock in the middle of the center console is the deal breaker for me. Yeah the square design is consistent with its exterior but I still hate them, almost as much as I hate Audi's turning wheels (instead of buttons) on their steering wheel.,To me the original CLS is sexy and unique, and although the new CLS is still a stunning car, the new design has lost its originality and its edge over other manufactures.,To Karabiner98k, I think the new CLS class has more resemblance to the CL class rather than to the S class, especially the front. Would you agree?",#18,,NA,NA,NA,2,0,
Internal Combustion,Sport Auto - BMW M135i x-Drive vs Mercedes-Benz A45 AMG,post-661194,"Sep 21, 2013",conneem,"Impressive show from the BMW.,How do Dunlop SportMaxx RT compare to SuperSports?",#13,,NA,NA,NA,101,94,
Internal Combustion,6 Series Gran Coupe vs A7,post-661992,"Sep 28, 2013",TheOne1331,"For me, the profile of the A7 simply ruins everything.  The profile of a car is my favorite angle to view a car and I find the A7's profile to be nothing short of hideous.",#8,,NA,Male,NA,2,3,
Internal Combustion,Mercedes-Benz CLS - Old vs. New (Styling),post-661930,"Sep 27, 2013",Sergiu-Cristian,"Before I decided to buy one of these two (both cars were on sale in the same showroom) I drove them both, being very carefull to all the details of driving. Brakes, acceleration, how it is standing the car on the road in difficult conditions (braking in corners, taking curves at high speed, accelerating in curves, changing direction at high speed) and I concluded that the new model is not better then the old one (except for the gear that is smoother and a little bit faster at the new model; but the old one is more brutal). If you are inside it is obvious that the new one has less space for the front seats but more space for the back seats; for the trunk, you simply can't compare: the old one has a much bigger and geometricaly regular trunk. As for the style, I like more the old dashboard (wich is more special), the front lights are better for the new one but the the backlights are better for the old one. The exterior shape of the old one is a true lesson of design, but at the new one you have an example of how you can work a lot to find new lines and, at the end, you discover that you lose the spirit of the concept. I forgot to say that both were 350 CDI AITMATIC, with the AMG set of wheels. So, I took the 219 model and every day I drive it I am very happy with my decision.",#23,,NA,Male,NA,1,1,
Internal Combustion,Mercedes-Benz CLS - Old vs. New (Styling),post-488474,"Nov 10, 2010",sgirish,"A real tough call out here. While i love the side profile of the Old CLS; the new one with its aggressive, edgy design gets my pulse racing,.",#22,,NA,NA,NA,3,0,
Internal Combustion,Which looks better? BMW 4-series or E-class coupe,post-654153,"Aug 14, 2013",Benzino,E coupe all the way,#12,,NA,NA,NA,57,44,
Internal Combustion,[photos] AMS: Bentley Brooklands vs. Mercedes CL 600,post-644817,"Jun 17, 2013",GianHet,"I totally agree, like this, the CL is really not that great looking, but with the AMG package, it becomes gorgeous.,If it had the AMG package, I would choose the CL without even thinking",#13,post: 370505,NA,Male,NA,28,14,
Internal Combustion,"The Ultimate Battle (S-class, 7 series, A8, XJ, LS)",post-638907,"May 16, 2013",andrazpotocnik1,"mercedes is the best car. i like the interior and exterior. but In my eyes it have some touch of audi (central console angel),  Rolls-Royce (vents) and bmw (display in shape of smartphone just bigger).",#35,,NA,NA,NA,53,38,
Internal Combustion,Audi RS6 Avant vs Audi R8 V10 Plus,post-638015,"May 13, 2013",Jasko,but the new R8 comes only as a V8 with manual gearbox. It's a shame that theres no manuel for the V10......,#7,post: 638008,NA,Male,NA,11,2,
Internal Combustion,Sport Auto - Audi RS4 Avant vs Mercedes-Benz C63 AMG T-model,post-608077,"Nov 15, 2012",lesney78,"I had hoped AMS would bring such a comparison first. Good that at least Sport Auto still is into spicy cars and does not focus solely on compacts and vans short tests .... (I am really annoyed by the ""new"" AMS management direction.)",#5,,NA,Male,NA,698,"2,782",
Internal Combustion,Poll: Audi S3 vs MB A45 AMG,post-623467,"Feb 14, 2013",singh_avtar,Since mercedes launched A45.. K-A is totally lost lol...,#14,,NA,NA,NA,9,6,
Internal Combustion,Photo Comparison: BMW 4 Series Coupe vs. Audi A5 vs. Mercedes-Benz  E-Class Coupe,post-611685,"Dec 7, 2012",michaelhutchence,Merc will have a beautiful facelifted E coupe fortunately. I bet that the 4er will be the best looking but the E will not look that old like in the above pics.,#13,,NA,Male,NA,224,83,
Internal Combustion,Poll: BMW 1er vs. Audi A3 vs. MB A-Class,post-567986,"Mar 6, 2012",bmwownage,"The 1series is great if you delete the front and tail lights. Proportions, shape is best of all so what a pity they threw some ugly lights on it. That A-class interior actually looks pretty cheap in real life pics, especially that apparent hook-on screen. If I got to choose one I would go for the A3 now, that's it, won't get the other two.,While the F20 interior ""looks good"" and some says BMW has up-ed the game, have you guys sat in one? I dont' know, but with F20 and F30 interior, I think BMW is losing a bit of plot, not doing what they were famous for before. The F20 (and F30, but more so on the F20), feels and looks very busy, you can see on the pics yourselves, even the A's interior is ""cleaner"", while you have all these curving trims, plastic bulges etc., it does not feel relaxing, and it isn't exactly ""upscale"". What they were famous for before, was making practical interiors that feel good more than looking good. The dash on the E87 was small, but it felt OK with the whole layout, this one seemingly sport a similar sized dashboard, but it feels so damn small, feels like the car is running out of space so it needs a tiny dash. F30 is a better but ok let's stay on topic.",#6,,NA,NA,NA,"1,424",376,
Internal Combustion,AMS Nardo 2011 highspeed test preview,post-522585,"Jun 21, 2011",Jestem_Slaby,"This Porsche that is 9ff 911, but i don't know what version. This car was on Verva Street Racing in Warsaw in this weekend. Other cars: Mathilda Scirocco GT-R1, MTM A1 Nardo Edition, Hamann SLR McLaren Hawk??? And some Cayenne...",#6,,NA,NA,NA,3,0,
Internal Combustion,Sport Auto - Ferrari F12 Berlinetta vs Pagani Huayra,post-619437,"Jan 23, 2013",MaxPower-F50,Could someone please tell me where some people are taking the info that the huayra was 10 seconds faster than the F12 berlinetta around the Autodromo di Modena??? I have looked everywhere and I can't find any reference to any lap times on the internet.,#24,,NA,Male,NA,3,2,
Internal Combustion,AMS Nardo 2011 highspeed test preview,post-521772,"Jun 16, 2011",ackonim,Hopefully they will post some acceleration times this time.,#4,,NA,NA,NA,40,6,VW POLO 1.0
Internal Combustion,Who creates the best ads  ( TV advert and print) of the Big Three.,post-602290,"Oct 6, 2012",kalik28,mercedes's commecials are intelligent ı vote for merco,#42,,NA,Male,NA,1,0,
Internal Combustion,Who creates the best ads  ( TV advert and print) of the Big Three.,post-608735,"Nov 19, 2012",Ham8,,#43,,NA,NA,NA,104,290,
Internal Combustion,Wrath of the Titans: SUV Kings (MB vs. RR vs. MB),post-593202,"Aug 15, 2012",MBFanToDeath,"Don't know what to say...I agree with klier. The G is a story for its own, the G is something special,so, my vote goes for GL.",#7,,Mercedes-Benz World,Male,Designer,906,"1,561","2006 W 211 E 220 CDI Avantgarde,2001 W 168 A 160 Classic,1976 W 115 200 D"
Internal Combustion,Which company makes the most appealing car keys ?,post-589228,"Jul 24, 2012",Keyonte,"I agree the key fob is an important factor to me but i think MB has the best key fob in terms of design and feel, IDK what that Lexus key fob is about bc i've never seen one like that",#3,post: 589225,NA,Male,NA,785,439,"2012 Mercedes CLS550,2007 Mercedes C230,2005 Mercedes E320"
Internal Combustion,2013 Bentley CGT W12 vs. BMW M6,post-614658,"Dec 27, 2012",LAdoc2b,"I just recently sat in a 2013 650i xdrive, with the M-sport pack. The interior was beautiful...Piano black trim and white premium leather contrasted in tasteful black stitching - while the dash was wrapped in a subtle and artistically contoured black leather, seamlessly flowing into the side door panels. It felt luxurious. I've never been impressed by BMW interiors before. I stand corrected now. To those whom the M6 seems a bit pedestrian, you can opt to get individual trims on the M6 as well, to suit your taste, ranging from reds and rich browns, metals, woods, etc.,The Bentley won't handle like the M6. Yes, the Bentley exudes class and the interior is beautiful, the attention to detail is staggering. 36 hours are spent on the construction and placement of the steering wheel alone...but the exterior is clunky. Whereas the M6 is aesthetically pleasing but masculine, and it posses a ferocious character underneath. For my money, M6 all the way!!!,1) purchase a 2013 BMW M6 loaded to the max @ approx $130k. 2) Lease a 2013 Range Rover Supercharged. Both vehicles are stunning, more practical and together, cost as much as that fatty Bentley.",#105,,NA,Male,NA,1,5,
Internal Combustion,Chris Harris pits the Porsche GT3 RS 4.0 against the BMW M3 GTS and the Mercedes C63 AMG BS,post-577140,"May 3, 2012",mod9,"You said it all!!!!,The Porsche does it for me, second place would be the Bimmer.",#16,post: 577119,South Africa,Male,NA,95,52,
Internal Combustion,"Which out of the Big 3's Flagship 2-Doors would you *Buy*? 911, SL or 6-Series?",post-568866,"Mar 10, 2012",bickatl,There is no wrong answer. All awesome.,#9,,Atlanta,NA,NA,55,3,
Internal Combustion,Brand new E92 M3 or used CLK63 Black Series,post-561111,"Feb 6, 2012",MathewBMW,"Tough choice. Yes, sir... A very tough one indeed...,It really depends on your way of using the machine. If you're a track-day-fella go for the DCT M3. It's still the best coupé (evo Mag claims). But the torque and the monstrous power delivery of this 6.2 (and the noise...) is Something with capital S! CLK for the daily basis.",#17,,Brazil,Male,Med Student,59,14,"'10 Mercedes-Benz W212 E63 AMG,'06 BMW E63 M6,'11 MINI Cooper S"
Internal Combustion,Hesitation between Audi a5 sportback and Passat cc and the c class,post-561537,"Feb 8, 2012",Promising,wich one has the best design !!,#1,,NA,NA,NA,2,0,
Internal Combustion,Side-By-Side pics of NEW GS and the car it benchmarks off of: 5-Series,post-560364,"Feb 2, 2012",q5s,"Finally some competition for that ugly 5 series front. Didn't think anyone could do it. Well done Lexus, nearly managed the impossible.,Choosing between these two fronts is like choosing which eye to keep. You can't win.",#9,,NA,NA,NA,102,24,
Internal Combustion,Autobild: (F30) BMW 320d vs Mercedes C220 Cdi,post-562153,"Feb 11, 2012",Morrison,"I think the 3er F30 is better from all aspects, I love it. But, let`s just wait for it`s true rival. They we`ll  see how good is the F30.",#14,,Bucharest,NA,NA,434,76,BMW e46 318i 2001
Internal Combustion,C&D: 2012 Chevrolet Corvette Z06 vs. 2013 Nissan GT-R vs. 2012 Porsche 991 Carrera S,post-554142,"Jan 1, 2012",DanS,"""The Corvette roars. The 911 wails. The GT-R whirs""",#2,,Phoenix Arizona,Male,U.S.A.F. Tactical Aircraft Maintenance Technician,89,67,"2005 Dodge SRT-4 (500whp race tune /450 street tune),2014 Buick Enclave,2011 BMW 135i - stock,2012 Audi TTRS - Daily/Borla atak-034 catless mid pipes,06 Suzuki Grand Vitara"
Internal Combustion,Fifth Gear: M3 GTS vs Porsche GT3 RS,post-526021,"Jul 17, 2011",AaronT,"If we consider Fifth Gear's final judgement that it comes down to: BMW - handling, Porsche - speed, then the logical conclusion would be to get the GTS. Unless of course, you are a track racer and really need every last second (IF the Porsche is faster at all - judging by the video, the lap time comparison was done more for fun and doesn't reflect the actual performance).",#15,,NA,NA,NA,14,0,
Internal Combustion,Audi S4 Pictures: Old vs. New - The S4,post-526609,"Jul 21, 2011",harrylal70,"Hello mate. I was looking for comparison pictures and found your great pics.  But you're missing the V8 S4 - I have that now, after replacing my twin turbo one a few years ago and I can't live without the sound of the quad exhausts!,I see German plates so I'll attempt a translation.,Guten Tag mein Freund.  Ich habe die Fotos mit Komparationen gesucht und habe Ihre ausgezeichneten Fotos gefunden.  Aber Sie haben kein Foto von den V8 S4 - das habe ich jetzt; nachdem ich mein altes biturbo S4 seit etwa Jahren ersetzt habe, kann ich mit dem Gerauesch von den vier Abgaesse nicht wohnen.,Tschuess!  Cheers.",#13,,NA,NA,NA,2,0,
Internal Combustion,German SUV Battle (M/X5/Cayenne/Q7)!,post-520628,"Jun 8, 2011",snksnok,ML>>then ML >>then>>>ML,#7,,NA,NA,NA,56,72,
Internal Combustion,EVO: BMW 1M vs Porsche Cayman R,post-522731,"Jun 22, 2011",ghusheshe,"""let me debunk the myth that this is not an M car. M cars are not about the engine, M cars are about the chassis"" I like that comment.",#2,,"Sandton, South Africa",NA,Credit Risk Analyst,177,145,"BMW 135 Covertible,Merc CLK 320"
Internal Combustion,Autoexpress: New Audi A6 vs Mercedes E-Class vs BMW 5 Series,post-515149,"May 4, 2011",dekii97,"The new Audi a6 looks stunning , it looks better than the rivals.,i would rate it 9/10, for my BMW would be last it looks simple for my liking...",#5,,"Sydney, Australia",Male,Student,80,36,"2013 Holden Commodore SSV 450hp 6 litre V8 Manual RWD!!,Currently own no German Cars!,2 Japanese and 2 Australian car in my garage!"
Internal Combustion,Ultimate Photo Battle: Mercedes-Benz C63 Coupe vs BMW E92 M3 ZCP vs Audi RS5,post-507949,"Mar 21, 2011",stockwizard,"I would agree with this.,I can't see how anyone would choose the BMW based on just looks..",#6,post: 507946,NA,NA,NA,20,6,
Internal Combustion,VW Golf Cabrio vs Audi A3 Cabrio,post-515634,"May 6, 2011",100hpero,"VW Golf Cabrio 2.0 TSI 210cv,Audi A3 Cabrio 2.0TFSI 210cv",#1,,Spain,NA,NA,8,27,
Internal Combustion,New SLK vs Z4 vs TT,post-496288,"Jan 13, 2011",Jabba,"Z4 with no doubt!,The SLK i have to it irl, the TT is far far behind of those two in terms of good looking...",#13,,NA,NA,Salesman,146,249,"CL 63,,SL 500,,Arden A-Type,,RangeRover Sport 4.2SC,,SLS,quite a few..."
